Time,Document Name,Sentiment Value
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_19.txt,-0.9999980926513672
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_2.txt,-0.9999926686286926
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_20.txt,-0.9999988079071045
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_21.txt,-0.9999983906745911
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_22.txt,-0.9999979734420776
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_23.txt,-0.9999986290931702
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_24.txt,-0.9999977350234985
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_25.txt,-0.9999979734420776
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_26.txt,-0.9999982714653015
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_27.txt,-0.9999988079071045
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_28.txt,-0.9999985694885254
2017-06,translated_2017-06-30 [COMPANY_1] Vermögensausweis_page_29.txt,-0.9999986886978149
